14:32:24      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:32:40    65532   4082375    0.00    0.00    0.00    0.00    0.00     8  surreal
14:32:41    65532   4082375    7.00    0.00    0.00    0.00    7.00     8  surreal
14:32:42    65532   4082375  102.00    1.00    0.00    0.00  103.00     8  surreal
14:32:43    65532   4082375  101.00    0.00    0.00    0.00  101.00     8  surreal
14:32:44    65532   4082375  100.00    1.00    0.00    0.00  101.00     8  surreal
14:32:45    65532   4082375  100.00    1.00    0.00    0.00  101.00     8  surreal
14:32:46    65532   4082375  101.00    0.00    0.00    0.00  101.00     8  surreal
14:32:47    65532   4082375  101.00    0.00    0.00    0.00  101.00     8  surreal
14:32:48    65532   4082375   58.00    0.00    0.00    0.00   58.00     8  surreal
14:32:49    65532   4082375    0.00    0.00    0.00    0.00    0.00     8  surreal
14:32:50    65532   4082375    0.00    0.00    0.00    0.00    0.00     8  surreal

Time elapsed: 6.632521907s
